Date,Site,Price
2021-06-25 09:00,Cardhoarder,35.22 tix
2021-06-25 12:00,Tcg Player Market,$ 19.97
2021-06-25 12:00,Cardhoarder,33.79 tix
2021-06-25 15:00,Tcg Player Market,$ 19.94
2021-06-25 15:00,Cardhoarder,33.52 tix
2021-06-25 18:00,Tcg Player Market,$ 19.72
2021-06-25 18:00,Cardhoarder,33.32 tix
2021-06-26 09:00,Tcg Player Market,$ 18.32
2021-06-26 09:00,Cardhoarder,36.45 tix
2021-06-26 12:00,Tcg Player Market,$ 18.27
2021-06-26 12:00,Cardhoarder,39.04 tix
2021-06-26 15:00,Tcg Player Market,$ 18.35
2021-06-26 15:00,Cardhoarder,38.91 tix
2021-06-26 18:00,Tcg Player Market,$ 18.77
2021-06-26 18:00,Cardhoarder,38.79 tix
2021-06-27 09:00,Tcg Player Market,$ 20.41
2021-06-27 09:00,Cardhoarder,39.31 tix
2021-06-27 12:00,Tcg Player Market,$ 20.29
2021-06-27 12:00,Cardhoarder,39.48 tix
2021-06-27 15:00,Tcg Player Market,$ 20.55
2021-06-27 15:00,Cardhoarder,40.04 tix
2021-06-27 20:42,Tcg Player Market,$ 19.16
2021-06-27 20:42,Cardhoarder,43.17 tix
2021-06-28 07:29,Tcg Player Market,$ 18.80
2021-06-28 07:29,Cardhoarder,44.75 tix
2021-06-28 09:00,Tcg Player Market,$ 19.79
2021-06-28 09:00,Cardhoarder,44.12 tix
2021-06-28 12:00,Tcg Player Market,$ 19.97
2021-06-28 12:00,Cardhoarder,42.16 tix
2021-06-28 15:00,Tcg Player Market,$ 20.58
2021-06-28 15:00,Cardhoarder,41.87 tix
2021-06-28 18:00,Tcg Player Market,$ 19.84
2021-06-28 18:00,Cardhoarder,41.83 tix
2021-06-29 09:00,Tcg Player Market,$ 21.66
2021-06-29 09:00,Cardhoarder,40.63 tix
2021-06-29 12:00,Tcg Player Market,$ 21.35
2021-06-29 12:00,Cardhoarder,40.34 tix
2021-06-29 15:00,Tcg Player Market,$ 19.45
2021-06-29 15:00,Cardhoarder,39.92 tix
2021-06-29 18:00,Tcg Player Market,$ 18.67
2021-06-29 18:00,Cardhoarder,38.93 tix
2021-06-29 21:14,Tcg Player Market,$ 19.02
2021-06-29 21:14,Cardhoarder,39.28 tix
2021-06-30 09:00,Tcg Player Market,$ 20.74
2021-06-30 09:00,Cardhoarder,39.41 tix
2021-06-30 12:00,Tcg Player Market,$ 20.55
2021-06-30 12:00,Cardhoarder,38.86 tix
2021-06-30 15:00,Tcg Player Market,$ 21.27
2021-06-30 15:00,Cardhoarder,38.85 tix
2021-06-30 21:00,Tcg Player Market,$ 21.49
2021-06-30 21:00,Cardhoarder,37.66 tix
2021-07-01 09:00,Tcg Player Market,$ 21.92
2021-07-01 09:00,Cardhoarder,40.24 tix
2021-07-01 12:00,Tcg Player Market,$ 21.96
2021-07-01 12:00,Cardhoarder,39.40 tix
2021-07-01 15:00,Tcg Player Market,$ 22.00
2021-07-01 15:00,Cardhoarder,39.36 tix
2021-07-01 18:03,Tcg Player Market,$ 22.00
2021-07-01 18:03,Cardhoarder,38.52 tix
2021-07-02 09:00,Tcg Player Market,$ 22.25
2021-07-02 09:00,Cardhoarder,35.13 tix
2021-07-02 11:49,Tcg Player Market,$ 23.25
2021-07-02 11:49,Cardhoarder,35.21 tix
2021-07-02 18:00,Tcg Player Market,$ 23.25
2021-07-02 18:00,Cardhoarder,34.70 tix
2021-07-05 06:56,Tcg Player Market,$ 25.49
2021-07-05 06:56,Cardhoarder,39.45 tix
